,time,object_1,object_2,object_3,object_4,object_5
33,1.1,"[349.642857142858, 362.785714872449, 508.919999823553, 278.285714285715]","[263.142856989796, 181.159999617699, 22.7142857142857, 23.071428494898]","[23.599999852961, 24.3571428571429, 20.2142858418367, 22.599999852961]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
34,1.1333,"[348.571428571429, 361.964286359694, 508.679999813174, 278.476190476191]","[263.357142688776, 180.63999959521, 22.8571428571428, 23.1785713443878]","[23.3999998443117, 24.4285714285715, 20.0357144260204, 22.3999998443117]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
35,1.1667,"[347.500000000001, 361.142857846939, 508.439999802795, 278.666666666667]","[263.571428387755, 180.119999572722, 23.0, 23.2857141938776]","[23.1999998356623, 24.5000000000001, 19.8571430102041, 22.1999998356623]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
36,1.2,"[346.428571428572, 360.321429334183, 508.199999792415, 278.857142857143]","[263.785714086735, 179.599999550234, 23.1428571428571, 23.3928570433674]","[22.999999827013, 24.5714285714286, 19.6785715943877, 21.999999827013]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
37,1.2333,"[345.357142857143, 359.500000821428, 507.959999782036, 279.04761904762]","[263.999999785715, 179.079999527745, 23.2857142857143, 23.4999998928572]","[22.7999998183636, 24.6428571428572, 19.5000001785714, 21.7999998183636]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
38,1.2667,"[344.285714285715, 358.678572308673, 507.719999771657, 279.238095238096]","[264.214285484694, 178.559999505257, 23.4285714285714, 23.607142742347]","[22.5999998097143, 24.7142857142858, 19.3214287627551, 21.5999998097143]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
39,1.3,"[343.214285714286, 357.857143795918, 507.479999761278, 279.428571428572]","[264.428571183674, 178.039999482769, 23.5714285714286, 23.7142855918368]","[22.3999998010649, 24.7857142857143, 19.1428573469387, 21.3999998010649]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
40,1.3333,"[342.142857142858, 357.035715283163, 507.239999750899, 279.619047619048]","[264.642856882653, 177.51999946028, 23.7142857142857, 23.8214284413266]","[22.1999997924156, 24.8571428571429, 18.9642859311224, 21.1999997924156]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
41,1.3667,"[341.071428571429, 356.214286770408, 507.0, 279.809523809524]","[264.857142581633, 177.0, 23.8571428571428, 23.9285712908164]","[22.0, 24.9285714285715, 18.7857145153061, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
42,1.4,"[340.0, 355.392858257653, 506.500000023377, 280.0]","[265.071428280613, 176.600000018701, 24.0, 24.0357141403061]","[22.3499999836364, 25.0, 18.6071430994898, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
43,1.4333,"[338.888888888889, 354.571429744898, 506.000000046753, 280.074074074074]","[265.285713979592, 176.200000037403, 24.0740740740741, 24.1428569897959]","[22.6999999672727, 25.037037037037, 18.4285716836734, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
44,1.4667,"[337.777777777778, 353.750001232142, 505.50000007013, 280.148148148148]","[265.499999678572, 175.800000056104, 24.1481481481481, 24.2499998392857]","[23.0499999509091, 25.0740740740741, 18.2500002678571, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
45,1.5,"[336.666666666667, 352.928572719387, 505.000000093507, 280.222222222222]","[265.714285377551, 175.400000074805, 24.2222222222222, 24.3571426887755]","[23.3999999345455, 25.1111111111111, 18.0714288520408, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
46,1.5333,"[335.555555555556, 352.107144206632, 504.500000116883, 280.296296296296]","[265.928571076531, 175.000000093507, 24.2962962962963, 24.4642855382653]","[23.7499999181818, 25.1481481481482, 17.8928574362244, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
47,1.5667,"[334.444444444445, 351.285715693877, 504.00000014026, 280.37037037037]","[266.142856775511, 174.600000112208, 24.3703703703704, 24.5714283877551]","[24.0999999018182, 25.1851851851852, 17.7142860204081, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
48,1.6,"[333.333333333333, 350.464287181122, 503.500000163636, 280.444444444444]","[266.35714247449, 174.200000130909, 24.4444444444444, 24.6785712372449]","[24.4499998854546, 25.2222222222222, 17.5357146045918, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
49,1.6333,"[332.222222222222, 349.642858668367, 503.000000187013, 280.518518518519]","[266.57142817347, 173.80000014961, 24.5185185185185, 24.7857140867347]","[24.7999998690909, 25.2592592592593, 17.3571431887755, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
50,1.6667,"[331.111111111111, 348.821430155612, 502.50000021039, 280.592592592593]","[266.785713872449, 173.400000168312, 24.5925925925926, 24.8928569362245]","[25.1499998527273, 25.2962962962963, 17.1785717729591, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
51,1.7,"[330.0, 348.0, 502.000000233766, 280.666666666667]","[267.0, 173.000000187013, 24.6666666666667, 25.0]","[25.4999998363637, 25.3333333333333, 17.0, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
52,1.7333,"[328.888888888889, 347.294117564014, 501.500000257143, 280.740740740741]","[266.823529391003, 172.600000205714, 24.7407407407407, 24.8235293910035]","[25.84999982, 25.3703703703704, 17.0588235363322, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
53,1.7667,"[327.777777777778, 346.588235128028, 501.00000028052, 280.814814814815]","[266.647058782007, 172.200000224416, 24.8148148148148, 24.6470587820069]","[26.1999998036364, 25.4074074074074, 17.1176470726644, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
54,1.8,"[326.666666666667, 345.882352692042, 500.500000303896, 280.888888888889]","[266.47058817301, 171.800000243117, 24.8888888888889, 24.4705881730104]","[26.5499997872728, 25.4444444444445, 17.1764706089965, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
55,1.8333,"[325.555555555556, 345.176470256055, 500.000000327273, 280.962962962963]","[266.294117564014, 171.400000261818, 24.9629629629629, 24.2941175640138]","[26.8999997709091, 25.4814814814815, 17.2352941453287, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
56,1.8667,"[324.444444444445, 344.470587820069, 499.500000350649, 281.037037037037]","[266.117646955017, 171.00000028052, 25.037037037037, 24.1176469550173]","[27.2499997545455, 25.5185185185185, 17.2941176816609, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
57,1.9,"[323.333333333334, 343.764705384083, 499.000000374026, 281.111111111111]","[265.941176346021, 170.600000299221, 25.1111111111111, 23.9411763460207]","[27.5999997381819, 25.5555555555556, 17.3529412179931, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
58,1.9333,"[322.222222222223, 343.058822948097, 498.500000397403, 281.185185185185]","[265.764705737024, 170.200000317922, 25.1851851851852, 23.7647057370242]","[27.9499997218182, 25.5925925925926, 17.4117647543253, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
59,1.9667,"[321.111111111112, 342.352940512111, 498.000000420779, 281.259259259259]","[265.588235128027, 169.800000336624, 25.2592592592592, 23.5882351280277]","[28.2999997054546, 25.6296296296296, 17.4705882906574, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
60,2.0,"[320.0, 341.647058076125, 497.500000444156, 281.333333333333]","[265.411764519031, 169.400000355325, 25.3333333333333, 23.4117645190311]","[28.6499996890909, 25.6666666666667, 17.5294118269896, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
61,2.0333,"[318.888888888889, 340.941175640138, 497.0, 281.407407407407]","[265.235293910034, 169.0, 25.4074074074074, 23.2352939100346]","[29.0, 25.7037037037037, 17.5882353633218, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
62,2.0667,"[317.777777777778, 340.235293204152, 496.705882369287, 281.481481481482]","[265.058823301038, 168.470588264717, 25.4814814814815, 23.058823301038]","[28.8823529477149, 25.7407407407408, 17.647058899654, 21.1764705784276]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
63,2.1,"[316.666666666667, 339.529410768166, 496.411764738575, 281.555555555556]","[264.882352692041, 167.941176529434, 25.5555555555555, 22.8823526920415]","[28.7647058954298, 25.7777777777778, 17.7058824359862, 21.3529411568553]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
64,2.1333,"[315.555555555556, 338.82352833218, 496.117647107862, 281.62962962963]","[264.705882083045, 167.411764794151, 25.6296296296296, 22.705882083045]","[28.6470588431447, 25.8148148148148, 17.7647059723183, 21.5294117352829]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
65,2.1667,"[314.444444444445, 338.117645896194, 495.823529477149, 281.703703703704]","[264.529411474048, 166.882353058868, 25.7037037037037, 22.5294114740484]","[28.5294117908597, 25.8518518518519, 17.8235295086505, 21.7058823137105]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
66,2.2,"[313.333333333334, 337.411763460208, 495.529411846436, 281.777777777778]","[264.352940865051, 166.352941323586, 25.7777777777777, 22.3529408650519]","[28.4117647385746, 25.8888888888889, 17.8823530449827, 21.8823528921381]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
67,2.2333,"[312.222222222223, 336.705881024222, 495.235294215724, 281.851851851852]","[264.176470256055, 165.823529588303, 25.8518518518518, 22.1764702560553]","[28.2941176862895, 25.925925925926, 17.9411765813149, 22.0588234705658]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
68,2.2667,"[311.111111111112, 336.0, 494.941176585011, 281.925925925926]","[264.0, 165.29411785302, 25.9259259259259, 22.0]","[28.1764706340044, 25.962962962963, 18.0, 22.2352940489934]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
69,2.3,"[310.0, 335.000000125, 494.647058954298, 282.0]","[264.0, 164.764706117737, 26.0, 22.1874999765625]","[28.0588235817193, 26.0, 18.0, 22.411764627421]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
70,2.3333,"[309.249999953125, 334.00000025, 494.352941323586, 282.125000007813]","[264.0, 164.235294382454, 25.749999984375, 22.374999953125]","[27.9411765294342, 25.749999984375, 18.0, 22.5882352058487]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
71,2.3667,"[308.49999990625, 333.000000375, 494.058823692873, 282.250000015625]","[264.0, 163.705882647171, 25.49999996875, 22.5624999296875]","[27.8235294771491, 25.49999996875, 18.0, 22.7647057842763]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
72,2.4,"[307.749999859375, 332.0000005, 493.76470606216, 282.375000023438]","[264.0, 163.176470911888, 25.249999953125, 22.74999990625]","[27.7058824248641, 25.249999953125, 18.0, 22.9411763627039]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
73,2.4333,"[306.9999998125, 331.000000625, 493.470588431447, 282.50000003125]","[264.0, 162.647059176605, 24.9999999375, 22.9374998828125]","[27.588235372579, 24.9999999375, 18.0, 23.1176469411316]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
74,2.4667,"[306.249999765625, 330.00000075, 493.176470800735, 282.625000039063]","[264.0, 162.117647441323, 24.749999921875, 23.124999859375]","[27.4705883202939, 24.749999921875, 18.0, 23.2941175195592]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
75,2.5,"[305.49999971875, 329.000000875, 492.882353170022, 282.750000046875]","[264.0, 161.58823570604, 24.49999990625, 23.3124998359375]","[27.3529412680088, 24.49999990625, 18.0, 23.4705880979868]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
76,2.5333,"[304.749999671875, 328.000001, 492.588235539309, 282.875000054688]","[264.0, 161.058823970757, 24.249999890625, 23.4999998125]","[27.2352942157237, 24.249999890625, 18.0, 23.6470586764144]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
77,2.5667,"[303.999999625, 327.000001125, 492.294117908596, 283.0000000625]","[264.0, 160.529412235474, 23.999999875, 23.6874997890625]","[27.1176471634386, 23.999999875, 18.0, 23.8235292548421]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
78,2.6,"[303.249999578125, 326.00000125, 492.0, 283.125000070313]","[264.0, 160.0, 23.749999859375, 23.874999765625]","[27.0, 23.749999859375, 18.0, 24.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
79,2.6333,"[302.49999953125, 325.000001375, 491.933333333117, 283.250000078125]","[264.0, 159.899999999675, 23.49999984375, 24.0624997421875]","[27.0166666667208, 23.49999984375, 18.0, 23.9833333332792]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
80,2.6667,"[301.749999484375, 324.0000015, 491.866666666234, 283.375000085938]","[264.0, 159.799999999351, 23.249999828125, 24.24999971875]","[27.0333333334416, 23.249999828125, 18.0, 23.9666666665584]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
81,2.7,"[300.9999994375, 323.000001625, 491.799999999351, 283.50000009375]","[264.0, 159.699999999026, 22.9999998125, 24.4374996953125]","[27.0500000001623, 22.9999998125, 18.0, 23.9499999998377]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
82,2.7333,"[300.249999390625, 322.00000175, 491.733333332468, 283.625000101563]","[264.0, 159.599999998701, 22.749999796875, 24.624999671875]","[27.0666666668831, 22.749999796875, 18.0, 23.9333333331169]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
83,2.7667,"[299.49999934375, 321.000001875, 491.666666665584, 283.750000109375]","[264.0, 159.499999998377, 22.49999978125, 24.8124996484375]","[27.0833333336039, 22.49999978125, 18.0, 23.9166666663961]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
84,2.8,"[298.749999296875, 320.0, 284.0, 491.599999998701]","[283.875000117188, 264.0, 253.0, 159.399999998052]","[22.0, 25.0, 23.0, 27.1000000003247]","[22.0, 18.0, 22.0, 23.8999999996753]","[nan, nan, nan, nan]"
85,2.8333,"[298.0, 319.0, 284.685714324898, 491.533333331818]","[284.0, 264.0, 252.914285709388, 159.299999997727]","[22.0, 24.9444444444444, 23.0, 27.1166666670455]","[22.0, 18.1666666666667, 21.9142857093878, 23.8833333329545]","[nan, nan, nan, nan]"
86,2.8667,"[318.0, 285.371428649796, 491.466666664935, 264.0]","[252.828571418775, 159.199999997403, 24.8888888888889, 23.0]","[27.1333333337662, 18.3333333333333, 21.8285714187755, 23.8666666662338]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
87,2.9,"[317.0, 286.057142974694, 491.399999998052, 264.0]","[252.742857128163, 159.099999997078, 24.8333333333333, 23.0]","[27.150000000487, 18.5, 21.7428571281633, 23.849999999513]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
88,2.9333,"[316.0, 286.742857299592, 491.333333331169, 264.0]","[252.657142837551, 158.999999996753, 24.7777777777778, 23.0]","[27.1666666672078, 18.6666666666667, 21.657142837551, 23.8333333327922]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
89,2.9667,"[315.0, 287.42857162449, 491.266666664286, 264.0]","[252.571428546939, 158.899999996428, 24.7222222222222, 23.0]","[27.1833333339286, 18.8333333333333, 21.5714285469388, 23.8166666660714]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
90,3.0,"[314.0, 288.114285949388, 491.199999997403, 264.0]","[252.485714256326, 158.799999996104, 24.6666666666667, 23.0]","[27.2000000006494, 19.0, 21.4857142563265, 23.7999999993506]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
91,3.0333,"[313.0, 288.800000274286, 491.133333330519, 491.0]","[264.0, 252.399999965714, 158.699999995779, 228.0]","[24.0, 23.0, 27.0, 28.0]","[19.0, 21.0, 23.0, 25.0]","[nan, nan, nan, nan]"
92,3.0667,"[312.0, 289.485714599184, 491.066666663636, 491.687500045919]","[264.0, 252.314285675102, 158.599999995454, 228.0]","[24.5555555555555, 23.0, 27.2333333340909, 27.749999983302]","[19.3333333333333, 21.314285675102, 23.7666666659091, 24.6249999749531]","[nan, nan, nan, nan]"
93,3.1,"[311.0, 290.171428924082, 490.999999996753, 492.375000091839]","[264.0, 252.22857138449, 158.49999999513, 228.0]","[24.5, 23.0, 27.2500000008117, 27.4999999666041]","[19.5, 21.2285713844898, 23.7499999991883, 24.2499999499061]","[nan, nan, nan, nan]"
94,3.1333,"[310.0, 290.85714324898, 490.93333332987, 493.062500137758]","[264.0, 252.142857093877, 158.399999994805, 228.0]","[24.4444444444444, 23.0, 27.2666666675325, 27.2499999499061]","[19.6666666666667, 21.1428570938776, 23.7333333324675, 23.8749999248592]","[nan, nan, nan, nan]"
95,3.1667,"[309.0, 291.542857573878, 490.866666662987, 493.750000183678]","[264.0, 252.057142803265, 158.29999999448, 228.0]","[24.3888888888889, 23.0, 27.2833333342533, 26.9999999332081]","[19.8333333333333, 21.0571428032653, 23.7166666657467, 23.4999998998122]","[nan, nan, nan, nan]"
96,3.2,"[308.0, 292.228571898775, 490.799999996104, 494.437500229597]","[264.0, 251.971428512653, 158.199999994156, 228.0]","[24.3333333333333, 23.0, 27.3000000009741, 26.7499999165102]","[20.0, 20.9714285126531, 23.6999999990259, 23.1249998747653]","[nan, nan, nan, nan]"
97,3.2333,"[307.0, 292.914286223673, 490.733333329221, 495.125000275517]","[264.0, 251.885714222041, 158.099999993831, 228.0]","[24.2777777777778, 23.0, 27.3166666676948, 26.4999998998122]","[20.1666666666667, 20.8857142220408, 23.6833333323052, 22.7499998497183]","[nan, nan, nan, nan]"
98,3.2667,"[306.0, 293.600000548571, 490.666666662338, 495.812500321436]","[264.0, 251.799999931428, 157.999999993506, 228.0]","[24.2222222222222, 23.0, 27.3333333344156, 26.2499998831143]","[20.3333333333333, 20.7999999314286, 23.6666666655844, 22.3749998246714]","[nan, nan, nan, nan]"
99,3.3,"[305.0, 294.285714873469, 490.599999995454, 496.500000367355]","[264.0, 251.714285640816, 157.899999993182, 228.0]","[24.1666666666666, 23.0, 27.3500000011364, 25.9999998664163]","[20.5, 20.7142856408163, 23.6499999988636, 21.9999997996244]","[nan, nan, nan, nan]"
100,3.3333,"[304.0, 294.971429198367, 490.533333328571, 497.187500413275]","[264.0, 251.628571350204, 157.799999992857, 228.0]","[24.1111111111111, 23.0, 27.3666666678572, 25.7499998497183]","[20.6666666666667, 20.6285713502041, 23.6333333321428, 21.6249997745775]","[nan, nan, nan, nan]"
101,3.3667,"[303.0, 295.657143523265, 490.466666661688, 497.875000459194]","[264.0, 251.542857059592, 157.699999992532, 228.0]","[24.0555555555555, 23.0, 27.383333334578, 25.4999998330204]","[20.8333333333334, 20.5428570595918, 23.616666665422, 21.2499997495306]","[nan, nan, nan, nan]"
102,3.4,"[302.0, 296.342857848163, 490.399999994805, 498.562500505114]","[264.0, 251.457142768979, 157.599999992208, 228.0]","[24.0, 23.0, 27.4000000012987, 25.2499998163224]","[21.0, 20.4571427689796, 23.5999999987013, 20.8749997244836]","[nan, nan, nan, nan]"
103,3.4333,"[301.238095238095, 297.028572173061, 490.333333327922, 499.250000551033]","[264.047619047619, 251.371428478367, 157.499999991883, 228.0]","[24.0, 23.0, 27.4166666680195, 24.9999997996244]","[21.0952380952381, 20.3714284783673, 23.5833333319805, 20.4999996994367]","[nan, nan, nan, nan]"
