,time,object_1,object_2,object_3
28,0.93333,"[192.391326904297, 192.462509155273, 29.1844329833984, 28.1935729980469]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
29,0.96667,"[187.05012512207, 190.629791259766, 31.3472137451172, 30.3719787597656]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
30,1.0,"[182.761703491211, 189.706390380859, 31.656005859375, 30.6619873046875]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
31,1.0333,"[181.276184082031, 190.153701782227, 30.2939758300781, 29.3044738769531]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
32,1.0667,"[177.370849609375, 189.066513061523, 30.110107421875, 29.1396789550781]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
33,1.1,"[173.582931518555, 188.609878540039, 29.6505279541016, 28.6559600830078]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
34,1.1333,"[170.283950805664, 188.589462280273, 27.7779846191406, 26.7535858154297]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
35,1.1667,"[166.825759887695, 187.07861328125, 30.1359405517578, 29.1683807373047]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
36,1.2,"[162.707656860352, 186.04150390625, 30.2829742431641, 29.3193969726562]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
37,1.2333,"[160.099563598633, 185.217575073242, 31.0030670166016, 30.0446472167969]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
38,1.2667,"[156.981094360352, 185.313247680664, 28.827392578125, 27.8411712646484]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
39,1.3,"[155.430389404297, 185.498672485352, 27.4367370605469, 26.4348602294922]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
40,1.3333,"[150.711166381836, 183.914276123047, 28.5706176757812, 27.5901031494141]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
41,1.3667,"[145.360473632812, 181.722106933594, 30.4694366455078, 29.5261688232422]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
42,1.4,"[142.048217773438, 181.776779174805, 28.7518920898438, 27.7846221923828]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
43,1.4333,"[140.797866821289, 182.630126953125, 26.8554382324219, 25.86474609375]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
44,1.4667,"[136.309982299805, 181.599075317383, 27.5261688232422, 26.5159454345703]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
45,1.5,"[134.478607177734, 181.182861328125, 27.3444519042969, 26.3505401611328]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
46,1.5333,"[128.899642944336, 178.24690246582, 29.7774658203125, 28.7945098876953]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
47,1.5667,"[124.546234130859, 176.127487182617, 30.4549255371094, 29.4571533203125]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
48,1.6,"[122.486236572266, 174.850448608398, 30.5800018310547, 29.6019897460938]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
49,1.6333,"[117.919151306152, 171.924942016602, 31.4895248413086, 30.4999847412109]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
50,1.6667,"[116.32536315918, 171.604705810547, 30.3162689208984, 29.3382415771484]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
51,1.7,"[112.158630371094, 171.015258789062, 29.5994720458984, 28.6139678955078]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
52,1.7333,"[109.240119934082, 170.060424804688, 30.9897384643555, 29.9979248046875]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
53,1.7667,"[105.171607971191, 169.621215820312, 30.7843856811523, 29.8093109130859]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
54,1.8,"[103.295791625977, 169.563278198242, 30.2499542236328, 29.2562408447266]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
55,1.8333,"[97.178092956543, 171.431304931641, 26.5757369995117, 25.6050872802734]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
56,1.8667,"[94.7758407592773, 170.556427001953, 28.0197372436523, 27.0388641357422]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
57,1.9,"[92.0, 170.0, 27.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
58,1.9333,"[97.218132019043, 171.772384643555, 18.8483047485352, 17.178466796875]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
59,1.9667,"[93.6892242431641, 169.447463989258, 18.2838134765625, 16.8169860839844]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
60,2.0,"[90.0936584472656, 166.282043457031, 20.1384124755859, 18.4552154541016]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
61,2.0333,"[86.0660858154297, 164.446258544922, 20.4015960693359, 18.7274169921875]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
62,2.0667,"[84.4681777954102, 163.478256225586, 20.0258407592773, 18.2710723876953]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
63,2.1,"[93.3822860717773, 161.370010375977, 20.072509765625, 18.2505187988281]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
64,2.1333,"[100.416694641113, 162.304107666016, 20.0001525878906, 18.1761779785156]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
65,2.1667,"[93.1125411987305, 154.75764465332, 36.3401412963867, 33.5310211181641]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
66,2.2,"[100.673217773438, 154.390472412109, 37.3017425537109, 34.4418029785156]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
67,2.2333,"[116.31175994873, 152.249633789062, 37.5257797241211, 34.4868774414062]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
68,2.2667,"[123.142456054688, 151.402038574219, 37.8319549560547, 34.6744232177734]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
69,2.3,"[142.021209716797, 153.257217407227, 36.7492980957031, 33.8688049316406]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
70,2.3333,"[161.255676269531, 152.678604125977, 36.8563842773438, 33.7138214111328]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
71,2.3667,"[174.1181640625, 150.028442382812, 36.7286529541016, 33.5867462158203]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
72,2.4,"[177.642654418945, 148.597961425781, 37.3980712890625, 34.2047424316406]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
73,2.4333,"[184.293014526367, 146.774887084961, 37.4306335449219, 34.2668304443359]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
74,2.4667,"[189.295959472656, 145.507781982422, 37.9145355224609, 34.7033538818359]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
75,2.5,"[190.195541381836, 145.562118530273, 38.1528167724609, 35.119384765625]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
76,2.5333,"[190.280990600586, 146.044052124023, 36.8955078125, 33.8743743896484]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
77,2.5667,"[190.031982421875, 145.078475952148, 36.9618072509766, 34.0142364501953]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
78,2.6,"[190.616958618164, 144.297332763672, 37.8319244384766, 34.6212768554688]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
79,2.6333,"[189.890838623047, 144.034240722656, 40.3911743164062, 37.0639801025391]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
80,2.6667,"[189.782043457031, 143.334259033203, 41.1012725830078, 37.90380859375]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
81,2.7,"[189.515975952148, 140.653671264648, 41.5010681152344, 38.1223449707031]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
82,2.7333,"[191.942749023438, 141.266159057617, 37.5686645507812, 34.3169403076172]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
83,2.7667,"[193.654769897461, 139.902450561523, 38.7021484375, 35.2626953125]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
84,2.8,"[194.089950561523, 139.108047485352, 38.517333984375, 35.0221252441406]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
85,2.8333,"[193.681915283203, 138.664276123047, 38.6806640625, 35.2830963134766]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
86,2.8667,"[193.919006347656, 139.348098754883, 37.2303924560547, 33.8550262451172]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
87,2.9,"[195.462753295898, 137.533645629883, 39.5403442382812, 36.0370330810547]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
88,2.9333,"[197.809951782227, 138.086532592773, 37.3574523925781, 33.8758239746094]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
89,2.9667,"[197.819900512695, 137.943939208984, 39.1183929443359, 35.6886901855469]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
90,3.0,"[200.444305419922, 138.395034790039, 36.3538970947266, 33.0170593261719]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
91,3.0333,"[201.175933837891, 137.197006225586, 37.2596893310547, 34.1012725830078]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
92,3.0667,"[202.347793579102, 136.417510986328, 36.795166015625, 33.6717681884766]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
93,3.1,"[199.782119750977, 135.083969116211, 39.0999450683594, 35.7945709228516]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
94,3.1333,"[195.68473815918, 132.415740966797, 38.8929138183594, 35.5711059570312]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
95,3.1667,"[194.5263671875, 132.628540039062, 36.1041564941406, 32.6849212646484]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
96,3.2,"[189.187530517578, 130.990524291992, 36.5854797363281, 33.1634521484375]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
97,3.2333,"[183.337478637695, 130.173751831055, 37.0943908691406, 33.6772918701172]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
98,3.2667,"[180.6416015625, 129.321746826172, 37.4902801513672, 34.1551971435547]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
99,3.3,"[174.794799804688, 128.12467956543, 38.8206024169922, 35.3597869873047]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
100,3.3333,"[170.023574829102, 127.048377990723, 38.6647033691406, 35.2471389770508]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
101,3.3667,"[167.692199707031, 126.042068481445, 39.0242767333984, 35.5961608886719]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
102,3.4,"[164.615768432617, 125.888458251953, 37.4032897949219, 34.0287017822266]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
103,3.4333,"[161.89421081543, 124.469161987305, 38.5195465087891, 35.2801818847656]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
104,3.4667,"[159.068893432617, 123.849967956543, 35.0453948974609, 31.7267227172852]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
105,3.5,"[155.375900268555, 121.418441772461, 37.6092834472656, 34.2841949462891]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
106,3.5333,"[150.530944824219, 120.147048950195, 36.9832153320312, 33.7276763916016]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
107,3.5667,"[147.972137451172, 119.323272705078, 36.7912902832031, 33.6410064697266]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
108,3.6,"[142.846054077148, 118.458038330078, 35.8583374023438, 32.5030975341797]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
109,3.6333,"[137.403549194336, 117.857635498047, 36.13623046875, 32.89013671875]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
110,3.6667,"[133.638366699219, 117.038726806641, 37.1266326904297, 33.6565399169922]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
111,3.7,"[126.950759887695, 116.378341674805, 36.6543121337891, 33.1764831542969]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
112,3.7333,"[124.949653625488, 116.237358093262, 35.0525741577148, 31.7843704223633]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
113,3.7667,"[120.619430541992, 115.953437805176, 34.1810760498047, 30.497673034668]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
114,3.8,"[118.693504333496, 114.937370300293, 34.0304336547852, 30.1884689331055]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
115,3.8333,"[113.781372070312, 112.146812438965, 35.0400695800781, 31.1420059204102]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
116,3.8667,"[108.31608581543, 108.377990722656, 36.1544952392578, 32.2108764648438]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
117,3.9,"[106.577743530273, 107.264976501465, 35.6231079101562, 31.5977401733398]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
118,3.9333,"[101.693161010742, 104.902984619141, 36.7880401611328, 32.7113037109375]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
119,3.9667,"[96.8311080932617, 103.440856933594, 36.3520584106445, 32.2416839599609]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
120,4.0,"[94.2568283081055, 102.892166137695, 36.218620300293, 32.1990509033203]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
121,4.0333,"[92.1719665527344, 102.604248046875, 36.38330078125, 32.3558044433594]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
122,4.0667,"[92.7759704589844, 100.818519592285, 36.1767730712891, 32.1310958862305]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
123,4.1,"[101.218231201172, 101.30785369873, 36.0787811279297, 31.9727554321289]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
124,4.1333,"[110.446151733398, 103.005638122559, 35.7282409667969, 31.6467666625977]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
125,4.1667,"[129.21142578125, 101.945571899414, 34.7653198242188, 30.9329071044922]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
126,4.2,"[139.120819091797, 101.221794128418, 35.2339782714844, 31.2639846801758]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
127,4.2333,"[162.0, 100.0, 35.0, 31.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
128,4.2667,"[178.71066588015, 105.131460846081, 25.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
129,4.3,"[204.078753112525, 96.34052080012, 29.0, 29.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
130,4.3333,"[213.275332270744, 96.5025464305068, 30.0, 30.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
131,4.3667,"[232.830477713142, 96.4465083489481, 30.0, 30.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
132,4.4,"[240.554979740439, 98.0410367259169, 28.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
133,4.4333,"[256.21745514765, 98.7015973338271, 27.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
134,4.4667,"[269.5119354114, 99.6008595233432, 28.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
135,4.5,"[272.108645080298, 97.4416564114795, 27.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
136,4.5333,"[281.241183458275, 98.0888964539914, 27.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
137,4.5667,"[284.635104535439, 97.0089478499718, 27.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
138,4.6,"[283.205721138861, 92.1029952176319, 26.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
139,4.6333,"[293.734255968041, 91.3990771180539, 26.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
140,4.6667,"[297.870822308877, 89.9446242459522, 26.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
141,4.7,"[300.718020437752, 89.4254139667025, 26.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
142,4.7333,"[303.03927808904, 85.9579680569874, 26.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
143,4.7667,"[310.713564692619, 88.442907989636, 26.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
144,4.8,"[314.585969804845, 90.442946494062, 26.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
145,4.8333,"[314.030152439548, 85.4671620135775, 28.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
146,4.8667,"[312.782073974609, 90.0793075561523, 28.8145446777344, 28.8145217895508]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
147,4.9,"[319.834381103516, 89.6036224365234, 28.6535949707031, 28.6535568237305]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
148,4.9333,"[324.822967529297, 85.6224060058594, 28.3860778808594, 28.3860397338867]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
149,4.9667,"[331.821105957031, 82.9977645874023, 28.4217529296875, 28.4217147827148]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
150,5.0,"[339.765747070312, 81.1985397338867, 28.3043823242188, 28.3043365478516]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
151,5.0333,"[342.934387207031, 79.0432662963867, 28.6300048828125, 28.6299667358398]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
152,5.0667,"[348.911956787109, 75.7860794067383, 28.6566162109375, 28.6565475463867]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
153,5.1,"[357.361755371094, 76.7312164306641, 28.6078491210938, 28.6077880859375]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
154,5.1333,"[361.897888183594, 76.904655456543, 28.7629699707031, 28.7629318237305]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
155,5.1667,"[368.888671875, 73.9939651489258, 28.7604064941406, 28.760368347168]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
156,5.2,"[372.811096191406, 73.6465911865234, 28.678955078125, 28.6789169311523]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
157,5.2333,"[382.545349121094, 73.3588409423828, 28.452880859375, 28.4528274536133]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
158,5.2667,"[392.772064208984, 70.982063293457, 28.8226928710938, 28.822639465332]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
159,5.3,"[396.038726806641, 69.1242523193359, 28.8429565429688, 28.842903137207]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
160,5.3333,"[397.987182617188, 67.2232666015625, 28.8269348144531, 28.8268814086914]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
161,5.3667,"[400.73095703125, 65.0004272460938, 28.4254455566406, 28.425407409668]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
162,5.4,"[404.992950439453, 62.6161651611328, 28.5468139648438, 28.5467758178711]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
163,5.4333,"[406.086395263672, 60.9150543212891, 28.3641357421875, 28.3641052246094]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
164,5.4667,"[406.701293945312, 60.5977821350098, 28.1648559570312, 28.1648445129395]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
165,5.5,"[407.373687744141, 60.1017684936523, 28.353515625, 28.3535003662109]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
166,5.5333,"[410.144226074219, 58.9681968688965, 28.4402465820312, 28.4402275085449]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
167,5.5667,"[410.729614257812, 57.7910461425781, 27.9580688476562, 27.9580383300781]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
168,5.6,"[410.886596679688, 57.4738845825195, 27.787109375, 27.7870788574219]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
169,5.6333,"[414.951202392578, 54.8455810546875, 27.8521728515625, 27.8521347045898]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
170,5.6667,"[417.458343505859, 52.6094818115234, 28.1047668457031, 28.1046981811523]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
171,5.7,"[420.231140136719, 48.6662826538086, 28.1365051269531, 28.1364364624023]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
172,5.7333,"[420.700317382812, 47.1371536254883, 27.9381408691406, 27.9380569458008]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
173,5.7667,"[421.744537353516, 43.9625091552734, 27.9520263671875, 27.9519958496094]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
174,5.8,"[420.083709716797, 41.0512466430664, 28.1959533691406, 28.195930480957]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
175,5.8333,"[414.553558349609, 40.9128723144531, 28.0236206054688, 28.0235977172852]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
176,5.8667,"[410.878723144531, 40.5270080566406, 28.2326354980469, 28.2325897216797]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
177,5.9,"[407.159027099609, 39.8574638366699, 28.2374267578125, 28.2374305725098]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
178,5.9333,"[399.578491210938, 39.0407447814941, 28.1067504882812, 28.1067771911621]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
179,5.9667,"[392.967590332031, 38.4511947631836, 28.2218933105469, 28.2219467163086]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
180,6.0,"[390.195068359375, 37.8310165405273, 28.0871276855469, 28.0871276855469]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
181,6.0333,"[383.322875976562, 34.1333694458008, 28.0646667480469, 28.0646553039551]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
182,6.0667,"[379.625152587891, 32.5570678710938, 28.1490478515625, 28.1491279602051]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
183,6.1,"[372.802215576172, 29.5767841339111, 28.5688171386719, 28.5688991546631]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
184,6.1333,"[367.24462890625, 29.0573749542236, 28.6035766601562, 28.6036472320557]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
185,6.1667,"[365.050811767578, 28.9598789215088, 28.5261535644531, 28.5262088775635]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
186,6.2,"[357.4287109375, 27.1062793731689, 28.5756225585938, 28.5756816864014]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
187,6.2333,"[354.156768798828, 27.6677112579346, 28.4318237304688, 28.4318904876709]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
188,6.2667,"[348.62548828125, 27.0735187530518, 28.3174743652344, 28.3175296783447]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
189,6.3,"[347.008392333984, 26.9921894073486, 28.1635131835938, 28.1635837554932]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
190,6.3333,"[341.800262451172, 26.5536308288574, 28.205810546875, 28.2058715820312]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
191,6.3667,"[338.007690429688, 25.6561603546143, 28.1514282226562, 28.1514225006104]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
192,6.4,"[336.837615966797, 24.2191581726074, 28.0471801757812, 28.0472221374512]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
193,6.4333,"[333.713897705078, 20.8967800140381, 28.020263671875, 28.0202770233154]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
194,6.4667,"[330.956146240234, 18.9146614074707, 28.05810546875, 28.0581130981445]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
195,6.5,"[323.844635009766, 15.0201377868652, 28.0059204101562, 28.0059089660645]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
