,time,object_1,object_2,object_3,object_4
25,0.83333,"[330.0, 87.0, 94.0, 351.0]","[25.0, 34.0, 30.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
26,0.86667,"[338.0, 87.0, 98.0, 351.0]","[17.0, 30.0, 25.0, 30.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
27,0.9,"[338.0, 90.0, 98.0, 354.0]","[23.0, 27.0, 29.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
28,0.93333,"[342.0, 90.0, 103.0, 354.0]","[19.0, 26.0, 24.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
29,0.96667,"[342.0, 90.0, 103.0, 349.0]","[28.0, 26.0, 27.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
30,1.0,"[353.0, 90.0, 109.0, 349.0]","[17.0, 32.0, 21.0, 29.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
31,1.0333,"[353.0, 90.0, 109.0, 351.0]","[19.0, 32.0, 26.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
32,1.0667,"[362.0, 90.0, 115.0, 351.0]","[14.0, 27.0, 19.0, 30.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
33,1.1,"[362.0, 90.0, 115.0, 353.0]","[19.0, 29.0, 26.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
34,1.1333,"[366.0, 90.0, 120.0, 353.0]","[15.0, 29.0, 21.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
35,1.1667,"[366.0, 89.0, 120.0, 352.0]","[21.0, 30.0, 27.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
36,1.2,"[369.0, 92.0, 124.0, 351.0]","[18.0, 33.0, 23.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
37,1.2333,"[369.0, 92.0, 124.0, 351.0]","[21.0, 31.0, 31.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
38,1.2667,"[372.0, 96.0, 130.0, 352.0]","[18.0, 27.0, 25.0, 24.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
39,1.3,"[378.0, 96.0, 139.0, 352.0]","[16.0, 29.0, 19.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
40,1.3333,"[378.0, 100.0, 140.0, 350.0]","[20.0, 25.0, 26.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
41,1.3667,"[381.0, 100.0, 142.0, 350.0]","[17.0, 26.0, 24.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
42,1.4,"[381.0, 100.0, 142.0, 348.0]","[19.0, 26.0, 32.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
43,1.4333,"[381.0, 100.0, 150.0, 347.0]","[19.0, 31.0, 24.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
44,1.4667,"[381.0, 102.0, 150.0, 346.0]","[24.0, 29.0, 31.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
45,1.5,"[384.0, 104.0, 157.0, 348.0]","[21.0, 28.0, 24.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
46,1.5333,"[381.0, 104.0, 160.0, 348.0]","[21.0, 30.0, 27.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
47,1.5667,"[385.0, 106.0, 168.0, 347.0]","[17.0, 28.0, 19.0, 24.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
48,1.6,"[385.0, 106.0, 168.0, 347.0]","[21.0, 32.0, 25.0, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
49,1.6333,"[386.0, 110.0, 174.0, 343.0]","[20.0, 28.0, 19.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
50,1.6667,"[386.0, 117.0, 174.0, 342.0]","[16.0, 23.0, 31.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
51,1.7,"[382.0, 117.0, 185.0, 342.0]","[20.0, 25.0, 20.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
52,1.7333,"[382.0, 117.0, 187.0, 342.0]","[20.0, 25.0, 26.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
53,1.7667,"[383.0, 117.0, 195.0, 342.0]","[19.0, 31.0, 18.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
54,1.8,"[383.0, 114.0, 195.0, 342.0]","[16.0, 34.0, 25.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
55,1.8333,"[382.0, 114.0, 199.0, 342.0]","[17.0, 36.0, 21.0, 29.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
56,1.8667,"[378.0, 119.0, 206.0, 340.0]","[25.0, 31.0, 21.0, 31.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
57,1.9,"[375.0, 119.0, 206.0, 340.0]","[26.0, 40.0, 28.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
58,1.9333,"[378.0, 126.0, 214.0, 333.0]","[23.0, 33.0, 20.0, 35.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
59,1.9667,"[378.0, 126.0, 214.0, 333.0]","[22.0, 29.0, 30.0, 30.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
60,2.0,"[373.0, 127.0, 221.0, 336.0]","[27.0, 35.0, 23.0, 33.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
61,2.0333,"[373.0, 134.150238037109, 221.0, 338.051300048828]","[23.0, 32.3409423828125, 27.0, 30.5150451660156]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
62,2.0667,"[372.0, 135.499435424805, 231.0, 338.42138671875]","[24.0, 33.2274627685547, 17.0, 31.493408203125]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
63,2.1,"[372.0, 136.954803466797, 231.0, 338.639526367188]","[18.0, 34.2493591308594, 27.0, 32.5673217773438]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
64,2.1333,"[368.0, 139.678680419922, 235.0, 339.529724121094]","[22.0, 33.3679504394531, 23.0, 31.5690307617188]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
65,2.1667,"[369.0, 141.799896240234, 237.0, 339.085021972656]","[18.0, 34.0582427978516, 31.0, 32.2467346191406]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
66,2.2,"[361.0, 144.546447753906, 247.0, 338.778137207031]","[26.0, 33.0073394775391, 21.0, 31.2590026855469]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
67,2.2333,"[361.0, 147.137176513672, 247.0, 337.145782470703]","[24.0, 33.0235595703125, 32.0, 31.1583251953125]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
68,2.2667,"[351.0, 149.940673828125, 254.0, 337.306274414062]","[34.0, 32.6998443603516, 25.0, 30.933837890625]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
69,2.3,"[351.0, 153.311950683594, 254.0, 338.728149414062]","[26.0, 31.2313079833984, 31.0, 29.377197265625]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
70,2.3333,"[350.0, 155.919387817383, 264.0, 339.669769287109]","[27.0, 30.8587646484375, 21.0, 28.9899291992188]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
71,2.3667,"[350.0, 157.542053222656, 264.0, 339.413726806641]","[25.0, 32.6004943847656, 24.0, 30.7315063476562]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
72,2.4,"[349.0, 160.911819458008, 270.0, 340.703979492188]","[26.0, 31.1941375732422, 18.0, 29.2584228515625]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
73,2.4333,"[349.0, 163.574493408203, 270.0, 341.084655761719]","[17.0, 31.1135559082031, 25.0, 29.3263244628906]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
74,2.4667,"[343.0, 166.91535949707, 279.0, 342.156402587891]","[23.0, 30.1256103515625, 16.0, 28.2424621582031]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
75,2.5,"[342.0, 169.427581787109, 279.0, 341.801788330078]","[21.0, 30.9942474365234, 25.0, 29.09033203125]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
76,2.5333,"[335.0, 204.0, 172.370025634766, 281.0]","[7.0, 340.303741455078, 28.0, 25.0]","[31.2285461425781, 23.0, 19.0, 29.4342651367188]","[nan, nan, nan, nan]"
77,2.5667,"[331.0, 207.0, 176.643524169922, 280.988286969253]","[11.0, 341.145660400391, 28.0, 24.0]","[29.1711883544922, 25.0, 21.0, 27.2752685546875]","[nan, nan, nan, nan]"
78,2.6,"[331.0, 204.0, 179.334915161133, 289.0]","[12.0, 341.350280761719, 21.0, 30.0]","[29.9391632080078, 26.0, 25.0, 28.0369262695312]","[nan, nan, nan, nan]"
79,2.6333,"[323.0, 204.0, 181.671127319336, 292.0]","[16.0, 341.104766845703, 29.0, 30.0]","[31.8288269042969, 23.0, 22.0, 29.8762817382812]","[nan, nan, nan, nan]"
80,2.6667,"[323.0, 207.0, 184.882858276367, 292.0]","[22.0, 341.968963623047, 28.0, 27.0]","[31.7825469970703, 32.0, 22.0, 29.7470092773438]","[nan, nan, nan, nan]"
81,2.7,"[316.0, 210.0, 188.613418579102, 301.0]","[25.0, 343.252319335938, 35.0, 26.0]","[30.6956939697266, 23.0, 23.0, 28.68408203125]","[nan, nan, nan, nan]"
82,2.7333,"[316.0, 208.0, 192.198883056641, 301.0]","[26.0, 343.888305664062, 29.0, 28.0]","[30.2443237304688, 25.0, 28.0, 28.3181457519531]","[nan, nan, nan, nan]"
83,2.7667,"[215.376571655273, 312.0, 194.927627563477, 34.6559524536133]","[302.0, 343.639770507812, 16.0, 35.0]","[31.7399597167969, 17.0, 25.0, 29.7154235839844]","[nan, nan, nan, nan]"
84,2.8,"[215.98127746582, 311.0, 198.84196472168, 37.4476318359375]","[308.0, 344.924194335938, 17.0, 28.0]","[30.4154052734375, 18.0, 24.0, 28.5021667480469]","[nan, nan, nan, nan]"
85,2.8333,"[218.14909362793, 467.0, 307.0, 202.133483886719]","[41.7702903747559, 445.0, 312.0, 345.394317626953]","[15.0, 20.0, 28.0, 30.8040313720703]","[16.0, 23.0, 23.0, 28.7697143554688]"
86,2.8667,"[219.161026000977, 466.0, 307.0, 205.847702026367]","[44.9445381164551, 447.0, 312.0, 346.015655517578]","[15.0, 20.0, 23.0, 30.4020080566406]","[16.0, 20.0, 30.0, 28.4919738769531]"
87,2.9,"[219.492401123047, 459.0, 300.0, 208.879516601562]","[47.384593963623, 447.0, 315.0, 346.392730712891]","[16.0, 24.0, 30.0, 31.2200775146484]","[17.0, 21.0, 27.0, 29.2657775878906]"
88,2.9333,"[219.702941894531, 457.0, 300.0, 213.0]","[49.6362113952637, 449.0, 315.0, 348.0]","[18.0, 26.0, 26.0, 30.0]","[19.0, 26.0, 32.0, 28.0]"
89,2.9667,"[221.336044311523, 459.0, 297.0, 216.0]","[52.8805122375488, 449.0, 324.0, 349.0]","[17.0, 18.0, 29.0, 26.0]","[18.0, 21.0, 23.0, 27.0]"
90,3.0,"[222.700180053711, 452.0, 297.0, 220.0]","[55.7522735595703, 448.0, 324.0, 351.0]","[17.0, 28.0, 28.0, 26.0]","[18.0, 26.0, 33.0, 24.0]"
91,3.0333,"[224.574478149414, 453.0, 290.0, 223.0]","[58.7973709106445, 448.0, 331.0, 349.0]","[16.0, 20.0, 26.0, 26.0]","[17.0, 26.0, 26.0, 25.0]"
92,3.0667,"[225.992752075195, 450.0, 286.0, 228.0]","[61.8992500305176, 445.0, 333.0, 351.0]","[15.0, 19.0, 31.0, 24.0]","[16.0, 23.0, 23.0, 30.0]"
93,3.1,"[225.71012878418, 445.0, 283.0, 229.0]","[62.6740074157715, 444.0, 334.0, 354.0]","[18.0, 24.0, 29.0, 28.0]","[20.0, 28.0, 29.0, 27.0]"
94,3.1333,"[228.040222167969, 441.0, 236.0, 285.0]","[66.1126556396484, 448.0, 357.0, 340.0]","[16.0, 26.0, 22.0, 27.0]","[17.0, 20.0, 24.0, 23.0]"
95,3.1667,"[229.937622070312, 437.0, 280.0, 238.0]","[69.1064071655273, 448.0, 341.0, 352.0]","[15.0, 25.0, 30.0, 27.0]","[15.0, 24.0, 25.0, 30.0]"
96,3.2,"[231.53694152832, 435.0, 285.0, 243.0]","[71.4071731567383, 452.0, 343.0, 360.0]","[14.0, 24.0, 18.0, 25.0]","[15.0, 19.0, 24.0, 21.0]"
97,3.2333,"[230.784912109375, 430.0, 279.0, 248.0]","[71.3262176513672, 450.0, 344.0, 359.0]","[18.0, 28.0, 21.0, 24.0]","[19.0, 24.0, 22.0, 24.0]"
98,3.2667,"[233.351333618164, 428.0, 281.0, 250.0]","[74.5025939941406, 453.0, 347.0, 358.0]","[16.0, 27.0, 22.0, 24.0]","[17.0, 21.0, 22.0, 26.0]"
99,3.3,"[234.855072021484, 426.0, 279.0, 252.0]","[76.2755279541016, 451.0, 353.0, 357.0]","[16.0, 21.0, 24.0, 26.0]","[17.0, 21.0, 19.0, 27.0]"
100,3.3333,"[234.905059814453, 257.0, 421.0, 76.7643203735352]","[359.0, 450.0, 18.0, 43.0]","[24.0, 19.0, 27.0, 20.0]","[nan, nan, nan, nan]"
101,3.3667,"[236.796432495117, 262.0, 420.0, 79.2070617675781]","[359.0, 449.0, 17.0, 30.0]","[18.0, 18.0, 30.0, 17.0]","[nan, nan, nan, nan]"
102,3.4,"[238.345703125, 264.0, 415.0, 80.5110244750977]","[361.0, 449.0, 17.0, 36.0]","[21.0, 18.0, 32.0, 21.0]","[nan, nan, nan, nan]"
103,3.4333,"[238.985015869141, 270.0, 415.0, 81.7575378417969]","[366.0, 449.0, 18.0, 27.0]","[17.0, 19.0, 26.0, 20.0]","[nan, nan, nan, nan]"
104,3.4667,"[240.430877685547, 269.0, 83.1067428588867, 367.0]","[18.0, 31.0, 19.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
105,3.5,"[242.231750488281, 278.0, 85.1756591796875, 370.0]","[17.0, 22.0, 18.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
106,3.5333,"[241.604827880859, 282.0, 84.4560317993164, 370.0]","[21.0, 23.0, 22.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
107,3.5667,"[245.201812744141, 285.0, 88.2326583862305, 373.0]","[16.0, 25.0, 18.0, 22.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
108,3.6,"[245.746780395508, 290.0, 89.0242767333984, 371.0]","[18.0, 20.0, 19.0, 24.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
109,3.6333,"[248.128997802734, 290.0, 91.4220809936523, 371.0]","[17.0, 30.0, 18.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
110,3.6667,"[249.122680664062, 297.0, 93.0244750976562, 377.0]","[17.0, 23.0, 19.0, 20.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
111,3.7,"[250.951599121094, 297.0, 95.3002548217773, 377.0]","[17.0, 30.0, 18.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
112,3.7333,"[252.152069091797, 300.0, 97.0661392211914, 377.0]","[17.0, 27.0, 18.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
113,3.7667,"[253.555633544922, 300.0, 99.044548034668, 377.0]","[18.0, 32.0, 19.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
114,3.8,"[255.001495361328, 307.0, 101.094612121582, 380.0]","[18.0, 25.0, 19.0, 22.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
115,3.8333,"[256.465362548828, 307.0, 103.542442321777, 380.0]","[17.0, 31.0, 19.0, 19.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
116,3.8667,"[257.911285400391, 105.806495666504, 18.1913757324219, 19.3074264526367]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
117,3.9,"[259.805053710938, 313.0, 108.627311706543, 378.0]","[17.0, 31.0, 18.0, 24.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
118,3.9333,"[260.7958984375, 321.0, 110.696296691895, 383.0]","[18.0, 23.0, 19.0, 19.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
119,3.9667,"[263.521606445312, 321.0, 114.364875793457, 383.0]","[16.0, 27.0, 17.0, 22.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
120,4.0,"[264.199645996094, 324.0, 116.217964172363, 386.0]","[18.0, 24.0, 19.0, 19.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
121,4.0333,"[266.224975585938, 324.0, 119.299102783203, 386.0]","[17.0, 30.0, 18.0, 20.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
122,4.0667,"[267.941802978516, 329.0, 122.330200195312, 384.0]","[17.0, 25.0, 18.0, 22.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
123,4.1,"[267.391052246094, 327.0, 123.228164672852, 384.0]","[21.0, 30.0, 22.0, 18.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
124,4.1333,"[270.88525390625, 334.0, 127.908950805664, 382.0]","[17.0, 23.0, 19.0, 20.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
125,4.1667,"[272.662841796875, 334.0, 130.893524169922, 382.0]","[17.0, 24.0, 18.0, 20.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
126,4.2,"[273.575073242188, 336.0, 133.352264404297, 383.0]","[18.0, 29.0, 19.0, 19.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
127,4.2333,"[276.661437988281, 342.0, 137.323608398438, 383.0]","[16.0, 23.0, 17.0, 19.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
128,4.2667,"[277.416046142578, 341.0, 139.701232910156, 389.0]","[18.0, 31.0, 19.0, 15.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
129,4.3,"[277.552215576172, 341.0, 141.242034912109, 389.0]","[21.0, 34.0, 22.0, 20.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
130,4.3333,"[281.244750976562, 350.0, 146.833480834961, 390.0]","[17.0, 25.0, 18.0, 19.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
131,4.3667,"[283.316314697266, 351.0, 150.418228149414, 390.0]","[17.0, 30.0, 18.0, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
132,4.4,"[285.447723388672, 354.0, 154.313125610352, 385.0]","[16.0, 27.0, 18.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
133,4.4333,"[286.081787109375, 354.0, 157.277481079102, 385.0]","[18.0, 35.0, 20.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
134,4.4667,"[285.936218261719, 363.0, 159.69970703125, 383.0]","[22.0, 26.0, 23.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
135,4.5,"[289.426330566406, 363.0, 165.375885009766, 383.0]","[18.0, 24.0, 20.0, 24.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
136,4.5333,"[291.241973876953, 370.0, 169.431533813477, 386.0]","[18.0, 17.0, 20.0, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
137,4.5667,"[291.132598876953, 370.0, 172.006866455078, 386.0]","[21.0, 24.0, 23.0, 22.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
138,4.6,"[293.404113769531, 375.0, 176.818267822266, 385.0]","[20.0, 19.0, 21.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
139,4.6333,"[294.159118652344, 375.0, 180.080841064453, 385.0]","[21.0, 18.0, 23.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
140,4.6667,"[294.274627685547, 378.0, 183.068862915039, 390.0]","[23.0, 19.8374816983894, 25.0, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
141,4.7,"[380.462310791016, 294.785766601562, 386.087005615234, 186.611541748047]","[20.9198913574219, 24.8790283203125, 20.9198913574219, 26.8160400390625]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
142,4.7333,"[381.238952636719, 296.208129882812, 384.258605957031, 191.020324707031]","[23.9888916015625, 24.006591796875, 23.98876953125, 26.0220336914062]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
143,4.7667,"[384.617004394531, 298.0, 383.087982177734, 196.0]","[24.0, 22.0, 24.0, 24.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
144,4.8,"[293.529022216797, 386.845428466797, 196.546844482422, 382.210998535156]","[34.011962890625, 25.62646484375, 31.795166015625, 25.6263122558594]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
145,4.8333,"[293.278717041016, 386.831665039062, 199.989151000977, 379.525695800781]","[35.7544250488281, 31.8673706054688, 33.3011169433594, 31.8672485351562]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
146,4.8667,"[293.072143554688, 392.931915283203, 203.324279785156, 382.346618652344]","[36.88330078125, 26.1393737792969, 34.6518249511719, 26.1393432617188]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
147,4.9,"[288.362457275391, 395.504180908203, 202.77165222168, 383.279632568359]","[46.7805480957031, 26.3597106933594, 44.193603515625, 26.3596801757812]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
148,4.9333,"[292.250244140625, 397.887420654297, 210.877029418945, 383.680419921875]","[39.0064697265625, 27.1870422363281, 36.4913635253906, 27.1870422363281]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
149,4.9667,"[294.121368408203, 401.891754150391, 216.822219848633, 384.867553710938]","[35.2023315429688, 25.06005859375, 32.822509765625, 25.06005859375]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
150,5.0,"[296.006896972656, 400.237518310547, 222.943328857422, 379.898376464844]","[31.2762756347656, 34.6474609375, 29.0615081787109, 34.6474609375]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
151,5.0333,"[295.277191162109, 403.874298095703, 226.643203735352, 381.5703125]","[32.0284729003906, 31.55517578125, 29.8117828369141, 31.5551147460938]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
152,5.0667,"[291.033660888672, 404.208435058594, 227.234085083008, 378.761749267578]","[39.4913024902344, 36.4141540527344, 37.0452423095703, 36.4140930175781]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
153,5.1,"[289.279083251953, 407.700347900391, 230.171615600586, 378.904663085938]","[42.0659790039062, 35.7142639160156, 39.7392120361328, 35.7142333984375]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
154,5.1333,"[290.723754882812, 417.0, 236.403900146484, 385.0]","[37.0, 23.0, 35.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
155,5.1667,"[291.688171386719, 416.0, 242.286956787109, 381.0]","[34.0, 34.0, 31.0, 32.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
156,5.2,"[291.662536621094, 423.0, 247.114929199219, 388.0]","[32.0, 23.0, 30.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
157,5.2333,"[290.288635253906, 423.0, 250.830688476562, 388.0]","[33.0, 33.0, 30.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
